,Accuracy,Precision,Recall,F1-Score,ROC AUC
Logistic Regression,0.7562189054726368,0.5304518664047151,0.7219251336898396,0.6115515288788222,0.8313929109441893
Random Forest,0.7882018479033405,0.6172839506172839,0.5347593582887701,0.5730659025787965,0.8228551387112972
XGBoost,0.7626154939587776,0.553763440860215,0.5508021390374331,0.5522788203753352,0.8132470712477546
